repo_a,repo_b,target_score_a,target_score_b,predicted_ratio,human_choice,human_multiplier,human_preference,predicted_preference,directional_agreement,ratio_error,parent,juror
https://github.com/erigontech/erigon,https://github.com/hyperledger/besu,6.46,5.809999999999999,1.1118760757314976,2.0,5.27,B,A,False,1.7680791094839616,ethereum,L1Juror1
https://github.com/chainsafe/web3.js,https://github.com/paradigmxyz/reth,5.470000000000001,4.829999999999998,1.1325051759834375,1.0,2.22,A,A,True,0.6730750471147791,ethereum,L1Juror1
https://github.com/erigontech/erigon,https://github.com/ethereum/go-ethereum,6.46,8.02,0.8054862842892768,2.0,10.55,B,B,True,2.1398167558381633,ethereum,L1Juror1
https://github.com/ethereumjs/ethereumjs-monorepo,https://github.com/ethers-io/ethers.js,6.31,5.789999999999999,1.0898100172711573,2.0,4.0,B,Equal,False,1.4722977460881086,ethereum,L1Juror1
https://github.com/erigontech/erigon,https://github.com/ethereum/web3.py,6.46,5.38,1.2007434944237918,1.0,50.0,A,A,True,3.7290820618073286,ethereum,L1Juror10
https://github.com/prysmaticlabs/prysm,https://github.com/hyperledger/besu,6.939999999999999,5.809999999999999,1.1944922547332186,1.0,3.0,A,A,True,0.9208910850132165,ethereum,L1Juror10
https://github.com/safe-global/safe-smart-account,https://github.com/paradigmxyz/reth,5.760000000000002,4.829999999999998,1.1925465838509324,1.0,1.5,A,A,True,0.22937410106484524,ethereum,L1Juror10
https://github.com/vyperlang/vyper,https://github.com/ethereum/go-ethereum,6.289999999999999,8.02,0.78428927680798,2.0,10.0,B,B,True,2.0596077418279712,ethereum,L1Juror10
https://github.com/hyperledger/besu,https://github.com/grandinetech/grandine,5.809999999999999,3.349999999999999,1.7343283582089553,1.0,50.0,A,A,True,3.361402780401301,ethereum,L1Juror11
https://github.com/erigontech/erigon,https://github.com/sigp/lighthouse,6.46,7.139999999999999,0.9047619047619049,2.0,5.0,B,B,True,1.509354453877118,ethereum,L1Juror11
https://github.com/grandinetech/grandine,https://github.com/ethereum/solidity,3.349999999999999,8.12,0.41256157635467977,2.0,40.0,B,B,True,2.8035096457773245,ethereum,L1Juror11
https://github.com/chainsafe/web3.js,https://github.com/a16z/helios,5.470000000000001,3.63,1.506887052341598,1.0,5.0,A,A,True,1.1993919442769698,ethereum,L1Juror13
https://github.com/chainsafe/lodestar,https://github.com/safe-global/safe-smart-account,5.069999999999999,5.760000000000002,0.880208333333333,1.0,8.0,A,B,False,2.207038198784544,ethereum,L1Juror13
https://github.com/paradigmxyz/reth,https://github.com/vyperlang/vyper,4.829999999999998,6.289999999999999,0.7678855325914148,1.0,3.0,A,B,False,1.3627268917159778,ethereum,L1Juror13
https://github.com/ethereumjs/ethereumjs-monorepo,https://github.com/nethermindeth/nethermind,6.31,6.789999999999999,0.9293078055964654,2.0,5.0,B,Equal,False,1.5361226474166174,ethereum,L1Juror13
https://github.com/status-im/nimbus-eth2,https://github.com/erigontech/erigon,6.74,6.46,1.043343653250774,2.0,1.5,B,Equal,False,0.4478957152378697,ethereum,L1Juror13
https://github.com/scaffold-eth/scaffold-eth-2,https://github.com/paradigmxyz/reth,3.9999999999999996,4.829999999999998,0.8281573498964805,2.0,4.0,B,B,True,1.1977422545753,ethereum,L1Juror13
https://github.com/ethereum/fe,https://github.com/hyperledger-web3j/web3j,3.78,4.109999999999999,0.9197080291970804,2.0,5.0,B,Equal,False,1.5257388935574534,ethereum,L1Juror13
https://github.com/ethers-io/ethers.js,https://github.com/nomicfoundation/hardhat,5.789999999999999,4.889999999999999,1.1840490797546013,1.0,3.0,A,A,True,0.9296723005699865,ethereum,L1Juror13
https://github.com/ethereum/web3.py,https://github.com/consensys/teku,5.38,6.3599999999999985,0.8459119496855347,2.0,10.0,B,B,True,2.135245089815708,ethereum,L1Juror13
https://github.com/erigontech/erigon,https://github.com/ethereum-lists/chains,6.46,5.000000000000001,1.2919999999999998,1.0,5.0,A,A,True,1.3532465070736903,ethereum,L1Juror13
https://github.com/ethers-io/ethers.js,https://github.com/ethereum/fe,5.789999999999999,3.78,1.5317460317460316,1.0,10.0,A,A,True,1.8761768110406385,ethereum,L1Juror13
https://github.com/ethereum/solidity,https://github.com/nethermindeth/nethermind,8.12,6.789999999999999,1.1958762886597938,1.0,10.0,A,A,True,2.1237058803910642,ethereum,L1Juror14
https://github.com/paradigmxyz/reth,https://github.com/ethereum/solidity,4.829999999999998,8.12,0.5948275862068964,2.0,10.0,B,B,True,1.7831014064849398,ethereum,L1Juror14
https://github.com/status-im/nimbus-eth2,https://github.com/ethereum/solidity,6.74,8.12,0.830049261083744,2.0,10.0,B,B,True,2.116314863744675,ethereum,L1Juror14
https://github.com/chainsafe/web3.js,https://github.com/ethereum/remix-project,5.470000000000001,4.9799999999999995,1.098393574297189,2.0,3.0,B,Equal,False,1.1924610140654384,ethereum,L1Juror14
https://github.com/wevm/viem,https://github.com/nomicfoundation/hardhat,4.509999999999999,4.889999999999999,0.9222903885480572,2.0,1.5,B,Equal,False,0.3245699581359707,ethereum,L1Juror15
https://github.com/vyperlang/vyper,https://github.com/ethereum/fe,6.289999999999999,3.78,1.664021164021164,2.0,2.0,B,A,False,1.202384241640798,ethereum,L1Juror15
https://github.com/ethereum/py-evm,https://github.com/ethereum/sourcify,6.109999999999999,5.17,1.1818181818181817,2.0,2.5,B,A,False,1.0833448165373212,ethereum,L1Juror15
https://github.com/erigontech/erigon,https://github.com/alloy-rs/alloy,6.46,3.1500000000000004,2.0507936507936506,1.0,4.0,A,A,True,0.6680674961629218,ethereum,L1Juror15
https://github.com/erigontech/erigon,https://github.com/hyperledger-web3j/web3j,6.46,4.109999999999999,1.5717761557177619,1.0,2.5,A,A,True,0.4640844425877877,ethereum,L1Juror15
https://github.com/grandinetech/grandine,https://github.com/chainsafe/lodestar,3.349999999999999,5.069999999999999,0.660749506903353,1.0,2.0,A,B,False,1.1075276523260622,ethereum,L1Juror15
https://github.com/consensys/teku,https://github.com/erigontech/erigon,6.3599999999999985,6.46,0.9845201238390091,1.0,2.5,A,Equal,False,0.931891672316635,ethereum,L1Juror15
